Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Karnataka,2021,15-49 years,Both,Neurological disorders,Death rank,17,,
All Population,Karnataka,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.008238520816307974,0.005629332195978831,0.010037025227125145
All Population,Kerala,2021,15-49 years,Both,Neurological disorders,Death rank,13,,
All Population,Kerala,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.008435984521336778,0.00624844656849631,0.010595024208371379
All Population,Madhya Pradesh,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.007784910969097749,0.006661048413784601,0.009574416854008514
All Population,Maharashtra,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Maharashtra,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.0072835760530337215,0.005866406886811654,0.008634867337745919
All Population,Manipur,2021,15-49 years,Both,Neurological disorders,Death rank,17,,
All Population,Manipur,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.0033404980533907084,0.0023060299195082124,0.005739553602129042
All Population,Meghalaya,2021,15-49 years,Both,Neurological disorders,Death rank,15,,
All Population,Meghalaya,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.010983466164268197,0.007567329373351214,0.013292138395612604
All Population,Mizoram,2021,15-49 years,Both,Neurological disorders,Death rank,18,,
All Population,Mizoram,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.00133905851514951,0.0006767242438591156,0.0029370291207779795
All Population,Nagaland,2021,15-49 years,Both,Neurological disorders,Death rank,17,,
All Population,Nagaland,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.004693420671373686,0.003404792329573787,0.0071063050019750705
All Population,Odisha,2021,15-49 years,Both,Neurological disorders,Death rank,15,,
All Population,Odisha,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.013672839573852253,0.006902309523602791,0.017197558625527288
All Population,Other Union Territories,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Other Union Territories,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.007250108152310159,0.006033287627248003,0.009792292986187091
All Population,Punjab,2021,15-49 years,Both,Neurological disorders,Death rank,15,,
All Population,Punjab,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.010388718945387836,0.0070691555139177995,0.012543470892749252
All Population,Rajasthan,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Rajasthan,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.008332991010615538,0.006814055218083621,0.009904965318914051
All Population,Sikkim,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Sikkim,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.005950140556336543,0.004376354724972167,0.008401615843417361
All Population,Tamil Nadu,2021,15-49 years,Both,Neurological disorders,Death rank,15,,
All Population,Tamil Nadu,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.006836919145028988,0.005207127761096698,0.007961271635760067
All Population,Telangana,2021,15-49 years,Both,Neurological disorders,Death rank,14,,
All Population,Telangana,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.010305146791173645,0.006400021027304856,0.012589833354290073
All Population,Tripura,2021,15-49 years,Both,Neurological disorders,Death rank,17,,
All Population,Tripura,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.005394541126810864,0.004261560177558877,0.007762479940830418
All Population,Uttar Pradesh,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.007331647132892652,0.006287993326507855,0.008914782504922674
All Population,Uttarakhand,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,Uttarakhand,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.007634580919839359,0.0042494758300717405,0.009458736473078131
All Population,West Bengal,2021,15-49 years,Both,Neurological disorders,Death rank,16,,
All Population,West Bengal,2021,15-49 years,Both,Neurological disorders,Percent of total deaths,0.005378260612004135,0.0038771100800891276,0.009552904207056376
All Population,Andhra Pradesh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000014252330974762549,2.5351875733519423e-7,0.0000068902806089399235
All Population,Arunachal Pradesh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000019393609610906683,3.332781934350242e-7,0.000008949995325745362
All Population,Assam,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Assam,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000001700841782790616,4.65921662223709e-7,0.000007967255970644293
All Population,Bihar,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Bihar,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000001144598438108971,2.0847884655472735e-7,0.00000555519124853059
All Population,Chhattisgarh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Chhattisgarh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000012287856105966313,2.1514729321325322e-7,0.0000059950761433699086
All Population,Delhi,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Delhi,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000037195685302083522,9.328233744405687e-7,0.000016490198365548085
All Population,Goa,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Goa,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000003589077512935742,9.590233841910573e-7,0.000015881052284525338
All Population,Gujarat,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Gujarat,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000026394311773988204,7.652387763399717e-7,0.000012810268784875302
All Population,Haryana,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Haryana,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000025896829994384304,6.597010407591005e-7,0.000011821345813820624
All Population,Himachal Pradesh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000002667885849982915,5.651562256154392e-7,0.000010781106720956308
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000024823152474602102,5.014868775068049e-7,0.000012780850054754383
All Population,Jharkhand,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Jharkhand,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000016395113044670574,3.7001211815357943e-7,0.000008240533747639743
All Population,Karnataka,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Karnataka,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000002065100042505949,5.200252462814091e-7,0.000010648462829548076
All Population,Kerala,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Kerala,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000004161004804669453,8.953977840933861e-7,0.00001854732329734597
All Population,Madhya Pradesh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000015933619976442155,3.6820364067996914e-7,0.000007102869493259598
All Population,Maharashtra,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Maharashtra,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000024462290916516734,5.743448490756345e-7,0.00001381734628678778
All Population,Manipur,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Manipur,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000001672512052620308,3.269986967503433e-7,0.000007494789318985973
All Population,Meghalaya,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Meghalaya,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000020364146275411625,3.6089021652134914e-7,0.00001061507299443572
All Population,Mizoram,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Mizoram,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000002318878741695419,4.4617952012879485e-7,0.000010435594164670738
All Population,Nagaland,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Nagaland,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000023598416947658216,4.6235565195252155e-7,0.000010027799292504302
All Population,Odisha,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Odisha,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000014993425851984435,4.1270794174108923e-7,0.000008400198772856211
All Population,Other Union Territories,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Other Union Territories,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000028414596690245254,8.306180652841044e-7,0.000009392639048130129
All Population,Punjab,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Punjab,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.00000248760112197261,6.384557026063063e-7,0.000010055799117098295
All Population,Rajasthan,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Rajasthan,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000014373353849991535,2.5712683890936255e-7,0.0000069096236426005556
All Population,Sikkim,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Sikkim,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000019785478430945697,2.889054306610734e-7,0.000007843922644566374
All Population,Tamil Nadu,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Tamil Nadu,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000020098375321588797,5.874201893547144e-7,0.000008880194383782992
All Population,Telangana,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Telangana,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000016756553967481252,2.2508364855782972e-7,0.000006475406707490312
All Population,Tripura,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Tripura,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000015457444599193894,2.7801682522142894e-7,0.000007653461761580303
All Population,Uttar Pradesh,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.0000013675689923092771,3.786002209402536e-7,0.000006800996557298704
All Population,Uttarakhand,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,Uttarakhand,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000001997715708691779,8.078424097745941e-7,0.000007992202015731826
All Population,West Bengal,2021,15-49 years,Both,Mental disorders,Death rank,22,,
All Population,West Bengal,2021,15-49 years,Both,Mental disorders,Percent of total deaths,0.000002269571393111014,4.5661387247186684e-7,0.000011100338966147349
All Population,Andhra Pradesh,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.006743772332747216,0.004672040523609522,0.009351756147286732
All Population,Arunachal Pradesh,2021,15-49 years,Both,Substance use disorders,Death rank,13,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.018412584544578656,0.007589762767699821,0.025423428995668497
All Population,Assam,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,Assam,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.007412242999162496,0.005401914717115906,0.009722710243992839
All Population,Bihar,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,Bihar,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.006456137126115599,0.004627014033710383,0.008744519917474988
All Population,Chhattisgarh,2021,15-49 years,Both,Substance use disorders,Death rank,14,,
All Population,Chhattisgarh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.014750086956301749,0.006765115322069893,0.019959086801547992
All Population,Delhi,2021,15-49 years,Both,Substance use disorders,Death rank,13,,
All Population,Delhi,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.014770255010595543,0.007672139480386868,0.02034730825971753
All Population,Goa,2021,15-49 years,Both,Substance use disorders,Death rank,15,,
All Population,Goa,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.008782566462199264,0.006320344566624252,0.012047135826729819
All Population,Gujarat,2021,15-49 years,Both,Substance use disorders,Death rank,16,,
All Population,Gujarat,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.009019515134719276,0.006146228447593471,0.011511618050306812
All Population,Haryana,2021,15-49 years,Both,Substance use disorders,Death rank,13,,
All Population,Haryana,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.012386645029039129,0.006550231408425369,0.01634167611825802
All Population,Himachal Pradesh,2021,15-49 years,Both,Substance use disorders,Death rank,12,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.01283620243869197,0.009255165416078778,0.01567892558954592
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.006788008910122889,0.00526867886110934,0.008664698041372876
All Population,Jharkhand,2021,15-49 years,Both,Substance use disorders,Death rank,18,,
All Population,Jharkhand,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.005925131068420154,0.004232899558919155,0.007875327279466191
All Population,Karnataka,2021,15-49 years,Both,Substance use disorders,Death rank,16,,
All Population,Karnataka,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.00956854328645052,0.005856619392202521,0.012089021501699842
All Population,Kerala,2021,15-49 years,Both,Substance use disorders,Death rank,16,,
All Population,Kerala,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.00351208285460955,0.0027452270467521155,0.006881437916396584
All Population,Madhya Pradesh,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.007538840183176042,0.0053197792686589945,0.00964713876936018
All Population,Maharashtra,2021,15-49 years,Both,Substance use disorders,Death rank,14,,
All Population,Maharashtra,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.011208032956797929,0.005684093897529614,0.014875232331994202
All Population,Manipur,2021,15-49 years,Both,Substance use disorders,Death rank,12,,
All Population,Manipur,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.013394622509473299,0.01053861459936552,0.01697608969992131
All Population,Meghalaya,2021,15-49 years,Both,Substance use disorders,Death rank,16,,
All Population,Meghalaya,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.010088358249159985,0.007571901732970138,0.01296644503211045
All Population,Mizoram,2021,15-49 years,Both,Substance use disorders,Death rank,14,,
All Population,Mizoram,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.014778821084843722,0.010203753313044236,0.020178988368368806
All Population,Nagaland,2021,15-49 years,Both,Substance use disorders,Death rank,13,,
All Population,Nagaland,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.01634107032844304,0.010548983062752796,0.02281725993222177
All Population,Odisha,2021,15-49 years,Both,Substance use disorders,Death rank,12,,
All Population,Odisha,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.016184048926351183,0.006051808328160491,0.022356647288050285
All Population,Other Union Territories,2021,15-49 years,Both,Substance use disorders,Death rank,10,,
All Population,Other Union Territories,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.016636542423610734,0.008423364847364454,0.021814875938282276
All Population,Punjab,2021,15-49 years,Both,Substance use disorders,Death rank,11,,
All Population,Punjab,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.01654694008767957,0.009972492435298077,0.02030929627583729
All Population,Rajasthan,2021,15-49 years,Both,Substance use disorders,Death rank,15,,
All Population,Rajasthan,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.010232934810179662,0.0067416732483471095,0.012593940130328343
All Population,Sikkim,2021,15-49 years,Both,Substance use disorders,Death rank,15,,
All Population,Sikkim,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.009095568828756149,0.006490736927073129,0.012188733779326347
All Population,Tamil Nadu,2021,15-49 years,Both,Substance use disorders,Death rank,16,,
All Population,Tamil Nadu,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.006570203058302897,0.004573742767639719,0.009035125142427724
All Population,Telangana,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,Telangana,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.007309906966089481,0.004854424527456413,0.010305619543171779
All Population,Tripura,2021,15-49 years,Both,Substance use disorders,Death rank,16,,
All Population,Tripura,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.007846561579149198,0.00556078272344267,0.011079491103633213
All Population,Uttar Pradesh,2021,15-49 years,Both,Substance use disorders,Death rank,15,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.008930735265548318,0.005995570622065091,0.011166248405783319
All Population,Uttarakhand,2021,15-49 years,Both,Substance use disorders,Death rank,15,,
All Population,Uttarakhand,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.009926124554872812,0.004029397570426953,0.01301061684664937
All Population,West Bengal,2021,15-49 years,Both,Substance use disorders,Death rank,17,,
All Population,West Bengal,2021,15-49 years,Both,Substance use disorders,Percent of total deaths,0.004803554374368873,0.003511621469542739,0.006953513350702272
All Population,Andhra Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,11,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.025499214996794164,0.02124780972977488,0.030335462288964204
All Population,Arunachal Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.027447344950202433,0.022912778737028724,0.03661357779337234
All Population,Assam,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Assam,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.02663971391072122,0.022994355986122306,0.03318799353488358
All Population,Bihar,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Bihar,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.028891469104686845,0.023786399785705015,0.03297750596639415
All Population,Chhattisgarh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,11,,
All Population,Chhattisgarh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.022743362519648397,0.019661329615370923,0.02675742662004304
All Population,Delhi,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Delhi,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.031041725781745005,0.024628446569950346,0.038189180400795796
All Population,Goa,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,8,,
All Population,Goa,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.04719960622400011,0.038756513339455255,0.055155745790527816
All Population,Gujarat,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Gujarat,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.03232164365438502,0.027668506038182165,0.036160701706726424
All Population,Haryana,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Haryana,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.025338753181308727,0.0215380248736411,0.029862760880895286
All Population,Himachal Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.027058134191736357,0.022782762417782647,0.031406204048582416
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.03156517263585316,0.025491480606059876,0.03569068316066838
All Population,Jharkhand,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,11,,
All Population,Jharkhand,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.02226488237329654,0.01928397095976453,0.025440566997284
All Population,Karnataka,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Karnataka,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.03539186096473604,0.03014652688095083,0.04049522234964811
All Population,Kerala,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,7,,
All Population,Kerala,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.046205896422623675,0.03734004487358912,0.05198399560431363
All Population,Madhya Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,12,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.01955721045847769,0.016974530140717203,0.023422132815249786
All Population,Maharashtra,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Maharashtra,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.029064541323380256,0.025166557984607728,0.0325911195274694
All Population,Manipur,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Manipur,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.03037935377794949,0.025752638765626733,0.03527100812672844
All Population,Meghalaya,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Meghalaya,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.024131403372572163,0.021022877378181763,0.027455492973241086
All Population,Mizoram,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,13,,
All Population,Mizoram,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.021063535710939014,0.017536407311553304,0.025792310592559084
All Population,Nagaland,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Nagaland,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.028065786142154752,0.022630074047505565,0.033420634819436676
All Population,Odisha,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Odisha,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.024847574346895815,0.021226976185156617,0.029899481545906693
All Population,Other Union Territories,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Other Union Territories,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.042589059156070364,0.03602962341170962,0.04840794960733293
All Population,Punjab,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,8,,
All Population,Punjab,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.04772524514314146,0.04048813287780951,0.05355770224926598
All Population,Rajasthan,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,12,,
All Population,Rajasthan,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.015602996688835137,0.013204156638620136,0.021430689275451022
All Population,Sikkim,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Sikkim,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.032849938132315785,0.02648597867903028,0.03867968343545977
All Population,Tamil Nadu,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,7,,
All Population,Tamil Nadu,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.055247784409776506,0.04491033738836517,0.06384673960820837
All Population,Telangana,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Telangana,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.030388978318776027,0.02559584337471465,0.03551627726227266
All Population,Tripura,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,Tripura,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.025258719618290123,0.021701056993550672,0.028859837516924353
All Population,Uttar Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,13,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.01976990082679359,0.016986974262715487,0.025855240337152672
All Population,Uttarakhand,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,10,,
All Population,Uttarakhand,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.02825661897781303,0.023994626054010215,0.03404732531465464
All Population,West Bengal,2021,15-49 years,Both,Diabetes and kidney diseases,Death rank,9,,
All Population,West Bengal,2021,15-49 years,Both,Diabetes and kidney diseases,Percent of total deaths,0.025275757601114553,0.02177071130710979,0.02873066332829503
All Population,Andhra Pradesh,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,20,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0005812076382564305,0.00047155531431885135,0.0007012177150844366
All Population,Arunachal Pradesh,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,18,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0016180984395257787,0.0012494534422785762,0.0019451381141156994
All Population,Assam,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,19,,
All Population,Assam,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0015978714731835384,0.001275899656009932,0.001985588205498261
All Population,Bihar,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,21,,
All Population,Bihar,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0007536837259057584,0.0006104266623348738,0.0009580972277201267
All Population,Chhattisgarh,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,19,,
All Population,Chhattisgarh,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0020784760198206465,0.0015169369512774574,0.0026752469105935242
All Population,Delhi,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,20,,
All Population,Delhi,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0012523444591572065,0.0009483418701856344,0.0016525749998172212
All Population,Goa,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,19,,
All Population,Goa,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0019444472979233368,0.0013199743145446404,0.0027065679444663077
All Population,Gujarat,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,20,,
All Population,Gujarat,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0011705252945735799,0.0009704659828723522,0.0013956153730854735
All Population,Haryana,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,21,,
All Population,Haryana,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0010910490460779108,0.0008241420559512613,0.0014245465021623634
All Population,Himachal Pradesh,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,19,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0015759203439231525,0.001294928984729455,0.0018946856907443258
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,20,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0006877327730041691,0.0005467054292147725,0.0008659208871661556
All Population,Jharkhand,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,21,,
All Population,Jharkhand,2021,15-49 years,Both,Skin and subcutaneous diseases,Percent of total deaths,0.0010979537682424601,0.000867782291840571,0.0013860836972369405
All Population,Karnataka,2021,15-49 years,Both,Skin and subcutaneous diseases,Death rank,21,,
