Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.18660923672366447,0.16412914003464327,0.2149859830397771
All Population,Jharkhand,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Jharkhand,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.23369530756445622,0.2041052518775263,0.268933880643335
All Population,Karnataka,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,Karnataka,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.1869471651010371,0.16128047528071987,0.21922407647001974
All Population,Kerala,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Kerala,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2235158634291166,0.20362879345395685,0.24533331344266823
All Population,Madhya Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2071151796621563,0.18124506816029493,0.23773645737174356
All Population,Maharashtra,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Maharashtra,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.22269935443935707,0.18803257710215515,0.25095945655101687
All Population,Manipur,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Manipur,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.24956148380579402,0.21728018186659795,0.29168945711982536
All Population,Meghalaya,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Meghalaya,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2516941086175053,0.22033674448118018,0.28984380598497766
All Population,Mizoram,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Mizoram,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.21742265759401483,0.182294672429307,0.2599511542223459
All Population,Nagaland,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Nagaland,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.21576894475835595,0.18395032987248222,0.25028623513216225
All Population,Odisha,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Odisha,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.23082915603231596,0.2088500415261609,0.257197825374572
All Population,Other Union Territories,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Other Union Territories,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.21472481859785153,0.18801740037751383,0.2461167130558483
All Population,Punjab,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,Punjab,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.15720591935704226,0.1406240058065734,0.17311997077494387
All Population,Rajasthan,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Rajasthan,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.25240522454245135,0.2245281925747968,0.2832618062371746
All Population,Sikkim,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Sikkim,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2586760546833106,0.22710179503059305,0.2937173956194535
All Population,Tamil Nadu,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,Tamil Nadu,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.1838326039487831,0.1644920461221169,0.21318460446284818
All Population,Telangana,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,3,,
All Population,Telangana,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.11883395617630582,0.10238520793502531,0.13760971159750968
All Population,Tripura,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,Tripura,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.18926465025199285,0.16377588906573856,0.21765767847425707
All Population,Uttar Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2507709836754817,0.22503152524838302,0.28210753569014346
All Population,Uttarakhand,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Uttarakhand,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.23017122955584904,0.2020368342939567,0.2618324966339232
All Population,West Bengal,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,West Bengal,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.1600201253073681,0.14312102583537403,0.18074183251524822
All Population,Andhra Pradesh,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.027370201382274514,0.01728332314361146,0.04321629366023349
All Population,Arunachal Pradesh,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.023846016656658246,0.012548526814588522,0.035726517968089434
All Population,Assam,2021,15-49 years,Both,Enteric infections,Death rank,9,,
All Population,Assam,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.03447064113546475,0.017834943461934333,0.05659550441150814
All Population,Bihar,2021,15-49 years,Both,Enteric infections,Death rank,9,,
All Population,Bihar,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.054185109923692944,0.027260875344812287,0.08946823846082276
All Population,Chhattisgarh,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Chhattisgarh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.028538551093467073,0.016486507262553938,0.04716552431510006
All Population,Delhi,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Delhi,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.021943587132119368,0.012491203405362371,0.03460335022426788
All Population,Goa,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Goa,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.010173124449112945,0.00522356683434503,0.020766813856938886
All Population,Gujarat,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Gujarat,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.018050397361958057,0.011251339764629265,0.0274957492882758
All Population,Haryana,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Haryana,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.021816749254903112,0.013190033993658024,0.03299910354962583
All Population,Himachal Pradesh,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.017068546974301227,0.010445664727775781,0.028360635537482394
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.017531654683399255,0.008326101240524578,0.03667457789118912
All Population,Jharkhand,2021,15-49 years,Both,Enteric infections,Death rank,7,,
All Population,Jharkhand,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.06752025525711883,0.034972897260714134,0.125157709172066
All Population,Karnataka,2021,15-49 years,Both,Enteric infections,Death rank,12,,
All Population,Karnataka,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.014860986775489731,0.008137691001462125,0.027097016223817848
All Population,Kerala,2021,15-49 years,Both,Enteric infections,Death rank,14,,
All Population,Kerala,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.007875207650388672,0.002672970558950093,0.023599551114849873
All Population,Madhya Pradesh,2021,15-49 years,Both,Enteric infections,Death rank,9,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.03883595481138963,0.01986238262290407,0.0750082513803373
All Population,Maharashtra,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Maharashtra,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.018457840939909955,0.012012631903703575,0.03029811780222495
All Population,Manipur,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Manipur,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.023578397063531625,0.012480889950201367,0.043875339250015216
All Population,Meghalaya,2021,15-49 years,Both,Enteric infections,Death rank,9,,
All Population,Meghalaya,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.03686140685382535,0.02209810760059011,0.06168062552061427
All Population,Mizoram,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Mizoram,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.02995910528256729,0.017200286626523533,0.04963929307214939
All Population,Nagaland,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Nagaland,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.020984529828237022,0.012629457653726603,0.036816330059067905
All Population,Odisha,2021,15-49 years,Both,Enteric infections,Death rank,8,,
All Population,Odisha,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.05065130217836721,0.02903406843324914,0.08002477296939071
All Population,Other Union Territories,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Other Union Territories,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.015470411944461911,0.010134830657177863,0.026430398490620424
All Population,Punjab,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Punjab,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.0210169715719329,0.011831717859144511,0.03332852278892405
All Population,Rajasthan,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Rajasthan,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.033273608828528846,0.018415803049812482,0.059034114108837035
All Population,Sikkim,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Sikkim,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.02400879446744222,0.012844275689036148,0.03783708015257403
All Population,Tamil Nadu,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Tamil Nadu,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.01582005008241432,0.008936114657778459,0.02715706800433347
All Population,Telangana,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Telangana,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.024085604247573604,0.013671638788184347,0.036321482896729936
All Population,Tripura,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Tripura,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.02138364187941434,0.013596252245519615,0.03891555875294296
All Population,Uttar Pradesh,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.03677822749963281,0.021472733196626383,0.06118488977034143
All Population,Uttarakhand,2021,15-49 years,Both,Enteric infections,Death rank,11,,
All Population,Uttarakhand,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.018836186288480175,0.010335021321813591,0.029736634304300187
All Population,West Bengal,2021,15-49 years,Both,Enteric infections,Death rank,10,,
All Population,West Bengal,2021,15-49 years,Both,Enteric infections,Percent of total deaths,0.02092353939771848,0.011988313393525366,0.040048486603285686
All Population,Andhra Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,16,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.006871125979105271,0.004328930840015265,0.012262495625070095
All Population,Arunachal Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0032078455804087284,0.0019952825257453666,0.005137894474151448
All Population,Assam,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Assam,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0023887054876167756,0.0014857929677471213,0.003498624665078488
All Population,Bihar,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Bihar,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.005833031440504201,0.0015952827446804809,0.018765420187609627
All Population,Chhattisgarh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,9,,
All Population,Chhattisgarh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.030105439668595312,0.0038826906341814862,0.1315408579927229
All Population,Delhi,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Delhi,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.008309036522280915,0.003756124282462177,0.015647348405362204
All Population,Goa,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Goa,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.004900158880702941,0.0008673626270114267,0.019683710771641032
All Population,Gujarat,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Gujarat,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.005558951529449244,0.003010622470434778,0.01259374173250222
All Population,Haryana,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Haryana,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.004952237611623519,0.0025142488369020643,0.007804828489092346
All Population,Himachal Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
